timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,boundary_layer_height,shortwave_radiation,pm2_5,pm10,nitrogen_dioxide,ozone,city
2023-01-01 00:00:00+07:00,20.8,78,16.8,1019.8,3.67,331,0.0,100,595.0,0.0,23.9,42.3,0.6,121.0,danang
2023-01-01 01:00:00+07:00,20.4,82,17.1,1019.4,4.12,321,0.0,100,620.0,0.0,24.4,42.8,0.6,121.0,danang
2023-01-01 02:00:00+07:00,19.8,86,17.4,1018.8,4.99,327,0.0,100,635.0,0.0,24.6,42.7,0.5,122.0,danang
2023-01-01 03:00:00+07:00,19.7,85,17.0,1018.4,4.84,322,0.0,100,610.0,0.0,25.8,44.6,0.5,123.0,danang
2023-01-01 04:00:00+07:00,19.7,84,17.0,1018.5,4.08,324,0.0,100,595.0,0.0,27.3,47.1,0.6,123.0,danang
2023-01-01 05:00:00+07:00,19.5,86,17.0,1018.9,3.97,326,0.1,100,630.0,0.0,29.6,51.1,0.9,121.0,danang
2023-01-01 06:00:00+07:00,19.5,89,17.7,1019.1,4.36,328,0.4,100,595.0,0.0,32.4,56.0,1.3,119.0,danang
2023-01-01 07:00:00+07:00,19.9,81,16.5,1019.8,3.62,309,0.6,100,495.0,6.0,32.2,56.2,1.5,116.0,danang
2023-01-01 08:00:00+07:00,20.2,81,16.9,1021.0,3.82,313,0.1,100,545.0,53.0,33.2,57.6,1.6,114.0,danang
2023-01-01 09:00:00+07:00,20.2,82,17.0,1021.6,3.47,303,0.4,100,505.0,79.0,34.0,58.4,1.9,110.0,danang
2023-01-01 10:00:00+07:00,20.5,81,17.1,1021.0,4.03,300,0.1,100,540.0,126.0,34.2,58.3,2.0,107.0,danang
2023-01-01 11:00:00+07:00,21.5,77,17.3,1020.4,4.81,315,0.0,100,575.0,310.0,33.5,56.3,2.0,106.0,danang
2023-01-01 12:00:00+07:00,21.4,77,17.2,1019.6,6.69,328,0.0,100,625.0,276.0,34.1,56.8,1.9,106.0,danang
2023-01-01 13:00:00+07:00,21.1,79,17.4,1018.4,8.32,331,0.0,100,635.0,200.0,33.1,55.1,1.7,107.0,danang
2023-01-01 14:00:00+07:00,21.1,79,17.4,1017.8,7.6,333,0.2,100,715.0,182.0,30.3,50.6,1.7,107.0,danang
2023-01-01 15:00:00+07:00,21.0,81,17.6,1017.4,7.33,334,0.2,100,765.0,112.0,27.6,46.3,1.8,107.0,danang
2023-01-01 16:00:00+07:00,21.0,80,17.5,1017.5,6.71,335,0.5,100,730.0,69.0,25.3,42.8,1.8,108.0,danang
2023-01-01 17:00:00+07:00,21.0,79,17.2,1017.9,6.4,333,0.3,100,665.0,36.0,24.2,41.1,1.7,110.0,danang
2023-01-01 18:00:00+07:00,21.0,79,17.2,1018.3,5.95,333,0.1,100,685.0,2.0,24.3,41.4,1.5,112.0,danang
2023-01-01 19:00:00+07:00,20.4,83,17.4,1019.0,5.1,325,0.0,100,640.0,0.0,27.2,47.1,1.6,120.0,danang
2023-01-01 20:00:00+07:00,20.6,82,17.4,1019.2,5.3,328,0.0,100,625.0,0.0,26.5,46.0,1.5,120.0,danang
2023-01-01 21:00:00+07:00,20.8,81,17.4,1019.6,4.78,323,0.0,100,600.0,0.0,26.1,45.4,1.4,120.0,danang
2023-01-01 22:00:00+07:00,20.7,82,17.6,1019.5,4.86,323,0.0,100,535.0,0.0,26.1,45.5,1.2,120.0,danang
2023-01-01 23:00:00+07:00,20.5,85,17.9,1019.1,4.96,326,0.1,100,510.0,0.0,26.0,45.1,1.1,119.0,danang
2023-01-02 00:00:00+07:00,20.3,86,17.9,1018.9,4.77,327,0.4,100,520.0,0.0,25.7,44.7,1.0,118.0,danang
2023-01-02 01:00:00+07:00,20.1,88,18.0,1018.4,5.46,325,0.6,100,515.0,0.0,23.8,40.7,0.9,117.0,danang
2023-01-02 02:00:00+07:00,20.2,88,18.1,1017.7,5.49,327,0.7,100,480.0,0.0,23.4,40.3,0.9,116.0,danang
2023-01-02 03:00:00+07:00,20.2,89,18.3,1017.2,5.39,329,0.7,100,505.0,0.0,22.8,39.0,0.9,115.0,danang
2023-01-02 04:00:00+07:00,20.1,91,18.5,1017.1,4.63,327,0.9,100,515.0,0.0,21.5,36.7,1.1,113.0,danang
2023-01-02 05:00:00+07:00,20.1,92,18.7,1017.9,4.0,323,1.5,100,475.0,0.0,20.0,34.2,1.4,110.0,danang
2023-01-02 06:00:00+07:00,20.1,92,18.8,1018.6,3.83,327,1.3,100,460.0,0.0,19.2,32.6,1.8,107.0,danang
2023-01-02 07:00:00+07:00,20.2,87,18.0,1019.1,3.62,309,1.3,100,490.0,5.0,21.2,36.2,2.7,98.0,danang
2023-01-02 08:00:00+07:00,20.8,86,18.3,1020.2,3.47,311,0.1,100,520.0,48.0,20.8,35.5,2.7,96.0,danang
2023-01-02 09:00:00+07:00,21.8,83,18.6,1020.7,3.82,315,0.0,100,515.0,223.0,20.7,35.3,2.7,93.0,danang
2023-01-02 10:00:00+07:00,22.2,81,18.8,1020.6,4.76,321,0.0,100,570.0,294.0,22.5,37.7,2.6,91.0,danang
2023-01-02 11:00:00+07:00,21.9,82,18.7,1020.3,5.16,324,0.0,100,595.0,203.0,23.2,38.6,2.5,91.0,danang
2023-01-02 12:00:00+07:00,22.0,82,18.8,1019.5,5.27,327,0.0,100,595.0,220.0,23.6,38.8,2.4,93.0,danang
2023-01-02 13:00:00+07:00,21.8,83,18.8,1018.7,5.44,324,0.5,100,620.0,220.0,23.3,38.3,2.3,95.0,danang
2023-01-02 14:00:00+07:00,21.5,86,19.0,1017.8,5.7,322,1.3,100,640.0,174.0,21.9,36.2,2.4,97.0,danang
2023-01-02 15:00:00+07:00,21.6,87,19.5,1017.2,6.17,340,1.3,100,625.0,123.0,19.8,33.1,2.5,99.0,danang
2023-01-02 16:00:00+07:00,21.5,88,19.5,1017.1,6.14,341,0.5,100,580.0,81.0,18.0,30.5,2.7,102.0,danang
2023-01-02 17:00:00+07:00,21.2,90,19.5,1017.7,6.04,336,0.6,100,545.0,19.0,17.2,29.3,2.7,103.0,danang
2023-01-02 18:00:00+07:00,21.4,89,19.4,1018.3,5.82,336,0.7,100,550.0,2.0,18.3,31.2,2.7,103.0,danang
