timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,boundary_layer_height,shortwave_radiation,pm2_5,pm10,nitrogen_dioxide,ozone,city
2023-01-01 00:00:00+07:00,10.7,87,8.7,1023.3,2.5,2,0.0,0,40.0,0.0,74.5,106.4,22.9,82.0,haiphong
2023-01-01 01:00:00+07:00,11.1,83,8.2,1022.9,2.56,21,0.0,0,40.0,0.0,67.1,95.7,20.2,73.0,haiphong
2023-01-01 02:00:00+07:00,10.4,84,7.8,1022.3,2.69,15,0.0,0,40.0,0.0,59.8,85.2,17.7,69.0,haiphong
2023-01-01 03:00:00+07:00,9.9,86,7.7,1022.2,2.32,353,0.0,3,45.0,0.0,53.0,75.7,14.9,66.0,haiphong
2023-01-01 04:00:00+07:00,9.8,86,7.5,1022.2,1.72,324,0.0,4,45.0,0.0,47.4,67.8,12.4,63.0,haiphong
2023-01-01 05:00:00+07:00,9.2,88,7.3,1022.7,1.98,319,0.0,7,40.0,0.0,43.7,62.2,12.4,59.0,haiphong
2023-01-01 06:00:00+07:00,9.1,88,7.2,1023.3,1.86,324,0.0,2,45.0,0.0,41.8,59.6,13.4,55.0,haiphong
2023-01-01 07:00:00+07:00,10.4,83,7.6,1024.0,1.56,320,0.0,1,50.0,9.0,43.2,61.7,22.9,44.0,haiphong
2023-01-01 08:00:00+07:00,13.3,70,7.8,1024.7,1.39,330,0.0,11,100.0,125.0,42.8,61.2,22.7,49.0,haiphong
2023-01-01 09:00:00+07:00,15.8,60,8.1,1025.1,1.02,349,0.0,34,295.0,326.0,40.4,57.7,22.4,56.0,haiphong
2023-01-01 10:00:00+07:00,17.8,54,8.4,1024.9,0.71,8,0.0,45,425.0,500.0,39.5,56.3,21.4,66.0,haiphong
2023-01-01 11:00:00+07:00,19.0,52,8.9,1024.3,0.41,14,0.0,68,665.0,589.0,39.7,56.7,19.5,75.0,haiphong
2023-01-01 12:00:00+07:00,19.2,52,9.1,1023.2,0.28,45,0.0,60,900.0,424.0,41.4,59.1,16.9,85.0,haiphong
2023-01-01 13:00:00+07:00,19.9,51,9.4,1021.7,0.41,104,0.0,37,1020.0,484.0,44.2,63.3,15.0,96.0,haiphong
2023-01-01 14:00:00+07:00,20.3,51,9.8,1020.8,0.86,144,0.0,100,1005.0,486.0,48.0,68.5,15.8,100.0,haiphong
2023-01-01 15:00:00+07:00,20.4,51,9.9,1020.2,1.06,131,0.0,100,795.0,382.0,54.1,77.3,17.6,103.0,haiphong
2023-01-01 16:00:00+07:00,19.0,58,10.4,1020.3,2.4,135,0.0,100,410.0,100.0,62.9,89.9,20.9,102.0,haiphong
2023-01-01 17:00:00+07:00,17.8,62,10.4,1020.7,2.69,132,0.0,100,275.0,40.0,76.8,109.7,24.2,97.0,haiphong
2023-01-01 18:00:00+07:00,17.2,65,10.6,1021.2,2.08,125,0.0,100,200.0,2.0,90.3,129.0,28.2,88.0,haiphong
2023-01-01 19:00:00+07:00,17.2,68,11.2,1021.5,1.48,118,0.0,93,145.0,0.0,91.7,130.9,31.1,76.0,haiphong
2023-01-01 20:00:00+07:00,15.6,80,12.1,1022.0,1.94,78,0.0,58,95.0,0.0,97.1,138.8,28.5,74.0,haiphong
2023-01-01 21:00:00+07:00,14.4,85,11.9,1023.0,2.3,92,0.0,98,75.0,0.0,97.3,139.2,24.5,70.0,haiphong
2023-01-01 22:00:00+07:00,14.1,86,11.8,1023.2,2.38,75,0.0,61,65.0,0.0,92.0,131.8,19.5,68.0,haiphong
2023-01-01 23:00:00+07:00,13.5,89,11.8,1023.1,2.4,73,0.0,39,55.0,0.0,83.4,119.2,16.2,70.0,haiphong
2023-01-02 00:00:00+07:00,14.4,84,11.9,1022.7,1.75,59,0.0,58,45.0,0.0,73.3,105.0,13.2,74.0,haiphong
2023-01-02 01:00:00+07:00,14.6,83,11.7,1022.1,2.05,47,0.0,100,40.0,0.0,64.0,91.5,10.1,79.0,haiphong
2023-01-02 02:00:00+07:00,15.2,81,11.9,1021.6,1.41,45,0.0,100,50.0,0.0,56.7,81.0,8.5,84.0,haiphong
2023-01-02 03:00:00+07:00,15.5,77,11.4,1021.2,1.2,48,0.0,100,65.0,0.0,51.6,73.8,7.5,88.0,haiphong
2023-01-02 04:00:00+07:00,15.6,77,11.6,1021.1,1.42,39,0.0,100,95.0,0.0,48.7,69.8,7.2,92.0,haiphong
2023-01-02 05:00:00+07:00,15.4,80,12.0,1021.4,0.71,352,0.0,100,75.0,0.0,46.3,66.6,8.1,90.0,haiphong
2023-01-02 06:00:00+07:00,15.3,81,12.0,1022.4,0.76,293,0.0,100,100.0,0.0,44.1,63.3,9.7,86.0,haiphong
